Resource,Dataset,Description,Category,Attribute,Views,Archived
RummaGEO,Drug Perturbation Signatures,Drug perturbation signatures produced from automatically mined RNA-seq samples from GEO.,transcriptomics,drug perturbation,1567,FALSE
The Human BioMolecular Atlas Program (HuBMAP),ASCT+B Augmented with RNA-seq Coexpression,Anatomical structure and cell type biomarker annotations from the HuBMAP ASCT+B tables augmented with RNA-seq coexpression data from ARCHS4,structural or functional annotations,cell type,1321,FALSE
Gene Ontology (GO),Biological Process Annotations 2025,curated annotations of genes with biological processes,structural or functional annotations,biological process,5279,FALSE
Gene Ontology (GO),Cellular Component Annotations 2025,curated annotations of genes with cellular components,structural or functional annotations,cellular component,2545,FALSE
Gene Ontology (GO),Molecular Function Annotations 2025,curated annotations of genes with molecular functions,structural or functional annotations,molecular function,797,FALSE
DISEASES,Curated Gene-Disease Assocation Evidence Scores 2025,Disease gene evidence scores by manual literature curation,disease or phenotype associations,disease,10970,FALSE
DISEASES,Experimental Gene-Disease Association Evidence Scores 2025,Disease gene evidence scores by integrating experimental data (GWAS),disease or phenotype associations,disease,13578,FALSE
DISEASES,Text-mining Gene-Disease Association Evidence Scores 2025,Gene-disease co-occurrence scores from text-mining biomedical abstracts,disease or phenotype associations,disease,49658,FALSE
Novartis Institutes for Biomedical Research (NIBR),DRUG-seq U2OS MoA Box,Drug perturbation signatures created by profiling 4343 small molecules in the U2-OS cell line with the DRUG-seq platform,transcriptomics,drug perturbation,28722,FALSE
Genotype Tissue Expression (GTEx),eQTL 2025,Significance values for all gene-SNP pairs testing likelihood that SNP affects gene expression,genomics,SNP,8554,FALSE
TISSUES,Curated Tissue Protein Expression Evidence Scores 2025,Protein tissue expression evidence scores by manual literature curation,structural or functional annotations,tissue,10389,FALSE
TISSUES,Experimental Tissue Protein Expression Evidence Scores 2025,Protein tissue expression evidence scores by integrating experimental data,proteomics,cell type or tissue,8374,FALSE
TISSUES,Text-mining Tissue Protein Expression Evidence Scores 2025,Gene-tissue co-occurrence scores from text-mining biomedical abstracts,structural or functional annotations,cell type or tissue,31613,FALSE
COMPARTMENTS,Curated Protein Localization Evidence Scores 2025,Protein subcellular localization evidence scores by manual literature curation,structural or functional annotations,cellular component,1704,FALSE
COMPARTMENTS,Experimental Protein Localization Evidence Scores 2025,Protein subcellular localization evidence scores by integrating experimental data,proteomics,cellular component,867,FALSE
COMPARTMENTS,Text-mining Protein Localization Evidence Scores 2025,Gene-cellular compartment co-occurrence scores from text-mining biomedical abstracts,structural or functional annotations,cellular component,10913,FALSE
Replogle et al. Cell 2022,K562 Genome-wide Perturb-seq Gene Perturbation Signatures,Gene expression profiles in the K562 cell line following CRISPRi genetic perturbation,transcriptomics,gene perturbation,4640,FALSE
Replogle et al. Cell 2022,K562 Essential Perturb-seq Gene Perturbation Signatures,Gene expression profiles in the K562 cell line following CRISPRi genetic perturbation of essential genes,transcriptomics,gene perturbation,6222,FALSE
Replogle et al. Cell 2022,RPE1 Essential Perturb-seq Gene Perturbation Signatures,Gene expression profiles in the RPE1 cell line following CRISPRi genetic perturbation of essential genes,transcriptomics,gene perturbation,4346,FALSE
Tahoe Therapeutics,Tahoe 100M Perturbation Atlas,Single-cell expression data from drug perturbation across cell lines in over 95 million cells,transcriptomics,drug perturbation,8291,FALSE
ClinVar,Gene-Phenotype Associations 2025,SNP-phenotype associations curated by ClinVar users from various sources,disease or phenotype associations,phenotype,23808,FALSE
Jaspar PWMs,Predicted Human Transcription Factor Targets 2025,Target genes of human transcription factors predicted using known transcription factor binding site motifs,genomics,transcription factor,48056,FALSE
Jaspar PWMs,Predicted Mouse Transcription Factor Targets 2025,Target genes of mouse transcription factors predicted using known transcription factor binding site motifs,genomics,transcription factor,2133,FALSE
Cell Maps for AI (CM4AI),U2OS Cell Map Protein Localization Assemblies,Protein localization assemblies constructed from integrating AP-MS biomolecular interaction and IF imaging data,structural or functional annotations,biological term,660,FALSE
GWAS Catalog,SNP-Phenotype Associations 2025,SNP-phenotype association p-values curated from published GWAS,disease or phenotype associations,phenotype,18130,FALSE
Allen Brain Atlas,Aging Dementia and Traumatic Brain Injury Tissue Sample Gene Expression Profiles,mRNA expression profiles for dementia and traumatic brain injuries (TBI) from aging brain tissue,transcriptomics,tissue sample,1157,FALSE
Sci-Plex,Drug Perturbation Signatures,sciRNA-seq expression profiles for A549 K562 and MCF7 cells treated with 188 compounds at 4 doses,transcriptomics,drug perturbation,980,FALSE
Kyoto Encyclopedia of Genes and Genomes (KEGG),Pathways 2026,Sets of proteins participating in pathways from KEGG,structural or functional annotations,pathway,22865,FALSE
