Colon - Transverse	UBERON:0001157
Kidney - Cortex	UBERON:0001225
Fetal brain	UBERON:0000955
Fetal liver	UBERON:0002107
Fetal heart	UBERON:0000948
Fetal testis	UBERON:0000473
Adult Adrenal	UBERON:0002369
Adult Colon	UBERON:0001155
Adult Esophagus	UBERON:0001043
Adult Frontal Cortex	UBERON:0001870
Adult Gallbladder	UBERON:0002110
Adult Heart	UBERON:0000948
Adult Kidney	UBERON:0002113
Adult Liver	UBERON:0002107
Adult Lung	UBERON:0002048
Adult Ovary	UBERON:0000992
Adult Pancreas	UBERON:0001264
Adult Prostate	UBERON:0002367
Adult Rectum	UBERON:0001052
Adult Retina	UBERON:0000966
Adult Spinal Cord	UBERON:0002240
Adult Testis	UBERON:0000473
Adult Urinary Bladder	UBERON:0001255
Fetal Gut	UBERON:0007026
Fetal Ovary	UBERON:0000992
endometrium - glandular cells	UBERON:0012276
endometrium - cells in endometrial stroma	UBERON:0002337
stomach - glandular cells	UBERON:0006924
appendix	UBERON:0001154
gallbladder	UBERON:0002110
Female tissues	UBERON:0000474
Skin and soft tissues	UBERON:0034929
Male tissues	UBERON:0000079
Blood and immune system	UBERON:0002405
Liver and Pancreas
Urinary Tract	UBERON:0001008
soft tissue - peripheral nerve	UBERON:0001021
duodenum - glandular cells	UBERON:0002114
kidney - cells in tubules	UBERON:0001231
testis - Leydig cells	UBERON:0005212
liver - hepatocytes	UBERON:0002107
placenta - trophoblastic cells	UBERON:0001987
smooth muscle - smooth muscle cells	UBERON:0001135
spleen - cells in red pulp	UBERON:0001250
cerebral cortex - neuronal cells	UBERON:0000956
heart muscle - myocytes	UBERON:0002349
thyroid gland - glandular cells	UBERON:0002046
cerebral cortex - glial cells	UBERON:0000956
lung - pneumocytes	UBERON:0002048
pancreas - exocrine glandular cells	UBERON:0001264
cerebral cortex - endothelial cells	UBERON:0000956
small intestine - glandular cells	UBERON:0002108
fallopian tube - glandular cells	UBERON:0003889
kidney - cells in glomeruli	UBERON:0000074
hippocampus - glial cells	UBERON:0002310
skeletal muscle - myocytes	UBERON:0001134
adrenal gland - glandular cells	UBERON:0002369
hippocampus - neuronal cells	UBERON:0002310
lung - macrophages	UBERON:0002048
ovary - ovarian stroma cells	UBERON:0006960
cerebral cortex - neuropil	UBERON:0000956
salivary gland - glandular cells	UBERON:0001044
tonsil - non-germinal center cells	UBERON:0002372
caudate - glial cells	UBERON:0001873
cerebellum - cells in molecular layer	UBERON:0002037
esophagus - squamous epithelial cells	UBERON:0006920
cerebellum - Purkinje cells	UBERON:0002979
colon - glandular cells	UBERON:0001155
cerebellum - cells in granular layer	UBERON:0002037
prostate - glandular cells	UBERON:0002367
lymph node - non-germinal center cells	UBERON:0000029
urinary bladder - urothelial cells	UBERON:0001255
rectum - glandular cells	UBERON:0001052
gallbladder - glandular cells	UBERON:0002110
epididymis - glandular cells	UBERON:0001301
vagina - squamous epithelial cells	UBERON:0000996
appendix - glandular cells	UBERON:0001154
liver - bile duct cells	UBERON:0002394
spleen - cells in white pulp	UBERON:0001959
bone marrow - hematopoietic cells	UBERON:0002371
skin - keratinocytes	UBERON:0002097
skin - Langerhans	UBERON:0002097
skin - melanocytes	UBERON:0002097
oral mucosa - squamous epithelial cells	UBERON:0002424
breast - glandular cells	UBERON:0000310
breast - myoepithelial cells	UBERON:0000310
skin - epidermal cells	UBERON:0002097
tonsil - germinal center cells	UBERON:0002372
skin - fibroblasts	UBERON:0002097
seminal vesicle - glandular cells	UBERON:0000998
caudate - neuronal cells	UBERON:0001873
breast - adipocytes	UBERON:0000310
colon - endothelial cells	UBERON:0001155
tonsil - squamous epithelial cells	UBERON:0002372
bronchus - respiratory epithelial cells	UBERON:0002185
nasopharynx - respiratory epithelial cells	UBERON:0001728
pancreas - islets of Langerhans	UBERON:0000006
parathyroid gland - glandular cells	UBERON:0001132
appendix - lymphoid tissue	UBERON:0001154
testis - cells in seminiferous ducts	UBERON:0001343
lymph node - germinal center cells	UBERON:0000029
cervix, uterine - glandular cells	UBERON:0012250
cervix, uterine - squamous epithelial cells	UBERON:0006922
colon - peripheral nerve/ganglion	UBERON:0001155
soft tissue - chondrocytes	UBERON:0002418
placenta - decidual cells	UBERON:0001987
ovary - follicle cells	UBERON:0001305
subcentral gyrus, S2
Cells - EBV-transformed lymphocytes
Cells - Transformed fibroblasts
temporo-occipital transitional zone
parieto-insular cortex
frontopolar cortex
soft tissue - adipocytes
arcuate nucleus
B Cells	CL:0000236
CD4 Cells	CL:0000624
CD8 Cells	CL:0000625
Monocytes	CL:0000576
NK Cells	CL:0000623
Platelets	CL:0000233
soft tissue - fibroblasts
Cervix carcinoma
BTO:0004410
BTO:0005453
B-lymphoblastoid cell
Cervical carcinoma cell
Erythroid cell
MOLT-4 cell
Erythroleukemia cell
Leukemic T-cell
T-cell chronic lymphocytic leukemia cell
Erythroleukemia
endometrium 1 - cells in endometrial stroma	UBERON:0002337
endometrium 1 - glandular cells	UBERON:0012276
endometrium 2 - cells in endometrial stroma	UBERON:0002337
endometrium 2 - glandular cells	UBERON:0012276
skin 1 - fibroblasts	CL:0002620
skin 1 - keratinocytes  CL:0000312
skin 1 - Langerhans CL:0000453
skin 1 - melanocytes    CL:0000148
skin 2 - epidermal cells
soft tissue 1 - fibroblasts	CL:0000057
soft tissue 1 - peripheral nerve	UBERON:0001021
soft tissue 2 - fibroblasts	CL:0000057
soft tissue 2 - peripheral nerve	UBERON:0001021
stomach 1 - glandular cells	CL:0002659
stomach 2 - glandular cells	CL:0002659
soft tissue 1 - chondrocytes
skin 1 - cells in basal layer
skin 1 - cells in corneal layer UBERON:0001985
skin 1 - cells in granular layer
skin 1 - cells in spinous layer
skin 1 - endothelial cells  CL:0000115
skin 1 - extracellular matrix   GO:0031012
skin 1 - fibrohistiocytic cells
skin 1 - hair follicles
skin 1 - langerhans cells   CL:0000453
skin 1 - lymphocytes
skin 1 - vascular mural cells	
skin 2 - cells in basal layer	
skin 2 - cells in corneal layer	UBERON:0001985
skin 2 - cells in granular layer	
skin 2 - cells in spinous layer	
skin 2 - endothelial cells	CL:0000115
skin 2 - extracellular matrix	GO:0031012
skin 2 - fibrohistiocytic cells	
skin 2 - langerhans cells	CL:0000453
skin 2 - lymphocytes	
skin 2 - melanocytes	
skin 2 - vascular mural cells	
soft tissue 2 - chondrocytes	
skin 1 - arrector pili muscle cells	UBERON:0002033
skin 2 - arrector pili muscle cells	UBERON:0002033
skin 2 - hair follicles	
skin 2 - sebaceous glands	UBERON:0001821
skin 1 - eccrine glands	
skin 2 - eccrine glands	
placenta	UBERON:0001987
adipose tissue	UBERON:0001013
adrenal gland	UBERON:0002369
bone marrow	UBERON:0002371
breast	UBERON:0000310
bronchus	UBERON:0002185
brown adipose tissue	UBERON:0001348
cartilage	UBERON:0002418
caudate	UBERON:0001873
cerebellum	UBERON:0002037
cerebral cortex	UBERON:0000956
choroid plexus	UBERON:0001886
colon	UBERON:0001155
dorsal raphe	UBERON:0002043
duodenum	UBERON:0002114
efferent ducts	UBERON:0006946
endometrium	UBERON:0001295
epididymis	UBERON:0001301
esophagus	UBERON:0001043
eye	UBERON:0000970
fallopian tube	UBERON:0003889
hair	UBERON:0001037
hypothalamus	UBERON:0001898
kidney	UBERON:0002113
lactating breast	UBERON:0000310
liver	UBERON:0002107
lung	UBERON:0002048
lymph node	UBERON:0000029
nasopharynx	UBERON:0001728
oral mucosa	UBERON:0002424
ovary	UBERON:0000992
pancreas	UBERON:0001264
parathyroid gland	UBERON:0001132
pituitary gland	UBERON:0000007
rectum	UBERON:0001052
retina	UBERON:0000966
seminal vesicle	UBERON:0000998
small intestine	UBERON:0002108
soft tissue	UBERON:0034929
sole of foot	UBERON:0008338
spleen	UBERON:0002106
stomach	UBERON:0000945
substantia nigra	UBERON:0002038
testis	UBERON:0000473
thymus	UBERON:0002370
thyroid gland	UBERON:0002046
tonsil	UBERON:0002372
urinary bladder	UBERON:0001255
vagina	UBERON:0000996
